context_polarity,document_count,valence_mean,valence_median,valence_std,arousal_mean,arousal_median,arousal_std,dominance_mean,dominance_median,dominance_std
negative,20,2.4602504134178163,2.466159224510193,0.16886296600636017,3.1610068321228026,3.1465407609939575,0.10415389763870163,2.7998234391212464,2.7893146276474,0.09435824600433745
positive,20,2.8703572869300844,2.848455548286438,0.1831221588799048,3.108819270133972,3.0909985303878784,0.10795948149914773,2.9403688788414,2.950896143913269,0.09358652334419378
