metric,baseline_group,comparison_group,baseline_mean,comparison_mean,mean_diff,baseline_median,comparison_median,median_diff,effect_size_cohens_d,mannwhitney_pvalue
valence,true,fake,2.851252185201645,2.7664342145204546,-0.08481797068119024,2.865230679512024,2.7544784545898438,-0.11075222492218018,-0.4173146969120629,3.641127844201764e-251
arousal,true,fake,3.1479037523269655,3.3243218091964724,0.17641805686950685,3.1386427879333496,3.308634400367737,0.1699916124343872,1.2871130120672316,0.0
dominance,true,fake,3.1258335050582886,3.1574853510856626,0.03165184602737403,3.134002208709717,3.157594919204712,0.023592710494995117,0.3299811633699542,2.93479737231631e-96
