group,pair_count,false_valence_mean,rewritten_valence_mean,delta_valence_mean,delta_valence_median,wilcoxon_valence_pvalue,false_arousal_mean,rewritten_arousal_mean,delta_arousal_mean,delta_arousal_median,wilcoxon_arousal_pvalue,false_dominance_mean,rewritten_dominance_mean,delta_dominance_mean,delta_dominance_median,wilcoxon_dominance_pvalue
News,13,2.820878212268536,2.884448711688702,0.06357049942016602,0.11302304267883301,0.0478515625,3.303218181316669,3.0906637631929836,-0.2125544181236854,-0.24395155906677246,0.00048828125,3.1828661148364725,3.1727596796475925,-0.010106435188880334,-0.005538225173950195,0.83935546875
politics,6,2.9570062160491943,2.8622442483901978,-0.09476196765899658,-0.02849423885345459,0.5625,3.2450100978215537,3.0701067050298056,-0.17490339279174805,-0.1322920322418213,0.09375,3.1718804438908896,3.1029001474380493,-0.06898029645284016,-0.09867584705352783,0.15625
left-news,3,2.740595022837321,2.8213071823120117,0.08071215947469075,0.10209465026855469,0.25,3.391913096110026,3.117674191792806,-0.27423890431722003,-0.1297752857208252,0.25,3.1233692169189453,3.151878039042155,0.028508822123209637,0.026661396026611328,0.5
Government News,1,2.7054920196533203,2.6126365661621094,-0.09285545349121094,-0.09285545349121094,,3.382183313369751,3.3175535202026367,-0.06462979316711426,-0.06462979316711426,,3.0745387077331543,3.1176910400390625,0.0431523323059082,0.0431523323059082,
Middle-east,1,2.8903660774230957,2.970560073852539,0.08019399642944336,0.08019399642944336,,3.0277771949768066,3.0345611572265625,0.006783962249755859,0.006783962249755859,,3.0425329208374023,3.1085751056671143,0.06604218482971191,0.06604218482971191,
